1
 OUTPUT FROM NONPUL:
  INITIAL MODEL IN HYDROSTATIC AND THERMAL BALANCE

  ZAMS 130 Msun to test the complete integrator                                      200 ZONES

     TOTAL LUMINOSITY= 7.7397E+39 TOTAL MASS= 2.5883E+35 EFFECTIVE TEMP.= 5.5266E+04
       PHOTOSPHERIC RADIUS= 1.0791E+12 CORE RADIUS= 6.2950E+10 CORE LUM.= 7.2700E+38
 IRAD= 1 NOBURN= 0 ONEMQ0= 1.000E+00 ONEMQ1= 1.000E+00 RLUMS= 7.740E+39 RLUMC= 7.740E+33
           IOUT= 0 IHMIN=  0 IHMAX=  0
   I   RADIUS     TEMP     SP.VOL   PRESSURE     G1       G3M1     OPACITY   DLKDLR    DLKDLT      CV       FRFT    INT.MASS
   57 3.244E+11 2.912E+07 2.139E+00 3.624E+15 1.426E+00 3.703E-01 3.359E-01 4.087E-03-1.847E-02 1.798E+09 5.125E-01 1.020E+35
   58 3.282E+11 2.888E+07 2.187E+00 3.511E+15 1.426E+00 3.704E-01 3.359E-01 4.141E-03-1.866E-02 1.794E+09 5.236E-01 1.043E+35
   59 3.320E+11 2.864E+07 2.237E+00 3.399E+15 1.426E+00 3.705E-01 3.360E-01 4.197E-03-1.886E-02 1.790E+09 5.347E-01 1.067E+35
   60 3.359E+11 2.840E+07 2.290E+00 3.288E+15 1.426E+00 3.706E-01 3.360E-01 4.253E-03-1.907E-02 1.786E+09 5.460E-01 1.091E+35
   61 3.398E+11 2.815E+07 2.344E+00 3.180E+15 1.426E+00 3.707E-01 3.360E-01 4.311E-03-1.928E-02 1.782E+09 5.573E-01 1.115E+35
   62 3.438E+11 2.790E+07 2.402E+00 3.072E+15 1.427E+00 3.708E-01 3.360E-01 4.371E-03-1.950E-02 1.777E+09 5.687E-01 1.139E+35
   63 3.478E+11 2.765E+07 2.461E+00 2.967E+15 1.427E+00 3.708E-01 3.360E-01 4.432E-03-1.973E-02 1.773E+09 5.802E-01 1.164E+35
   64 3.519E+11 2.739E+07 2.523E+00 2.863E+15 1.427E+00 3.709E-01 3.361E-01 4.495E-03-1.996E-02 1.769E+09 3.195E-01 1.188E+35
   65 3.560E+11 2.713E+07 2.589E+00 2.760E+15 1.427E+00 3.710E-01 3.361E-01 4.559E-03-2.020E-02 1.764E+09 3.048E-01 1.213E+35
   66 3.602E+11 2.687E+07 2.657E+00 2.659E+15 1.427E+00 3.711E-01 3.361E-01 4.626E-03-2.045E-02 1.760E+09 2.910E-01 1.239E+35
   67 3.644E+11 2.661E+07 2.729E+00 2.560E+15 1.427E+00 3.712E-01 3.361E-01 4.694E-03-2.071E-02 1.755E+09 2.784E-01 1.264E+35
   68 3.687E+11 2.634E+07 2.804E+00 2.462E+15 1.427E+00 3.713E-01 3.362E-01 4.765E-03-2.098E-02 1.750E+09 2.671E-01 1.290E+35
   69 3.730E+11 2.607E+07 2.884E+00 2.366E+15 1.428E+00 3.714E-01 3.362E-01 4.837E-03-2.126E-02 1.745E+09 2.722E-01 1.316E+35
   70 3.774E+11 2.579E+07 2.967E+00 2.272E+15 1.428E+00 3.716E-01 3.362E-01 4.912E-03-2.155E-02 1.740E+09 3.155E-01 1.342E+35
   71 3.819E+11 2.551E+07 3.055E+00 2.179E+15 1.428E+00 3.717E-01 3.363E-01 4.990E-03-2.185E-02 1.735E+09 3.576E-01 1.369E+35
   72 3.865E+11 2.523E+07 3.148E+00 2.088E+15 1.428E+00 3.718E-01 3.363E-01 5.070E-03-2.216E-02 1.730E+09 3.986E-01 1.396E+35
   73 3.911E+11 2.494E+07 3.246E+00 1.998E+15 1.428E+00 3.719E-01 3.363E-01 5.153E-03-2.248E-02 1.724E+09 4.382E-01 1.423E+35
   74 3.958E+11 2.465E+07 3.350E+00 1.910E+15 1.429E+00 3.720E-01 3.364E-01 5.239E-03-2.282E-02 1.719E+09 4.765E-01 1.450E+35
   75 4.006E+11 2.436E+07 3.461E+00 1.824E+15 1.429E+00 3.722E-01 3.364E-01 5.329E-03-2.317E-02 1.713E+09 5.134E-01 1.478E+35
   76 4.055E+11 2.406E+07 3.578E+00 1.739E+15 1.429E+00 3.723E-01 3.364E-01 5.422E-03-2.354E-02 1.707E+09 5.488E-01 1.506E+35
   77 4.105E+11 2.375E+07 3.702E+00 1.656E+15 1.429E+00 3.724E-01 3.365E-01 5.519E-03-2.393E-02 1.701E+09 5.827E-01 1.534E+35
   78 4.156E+11 2.344E+07 3.835E+00 1.575E+15 1.429E+00 3.726E-01 3.365E-01 5.621E-03-2.433E-02 1.695E+09 6.151E-01 1.563E+35
   79 4.208E+11 2.313E+07 3.977E+00 1.495E+15 1.430E+00 3.727E-01 3.366E-01 5.726E-03-2.476E-02 1.688E+09 6.460E-01 1.591E+35
   80 4.262E+11 2.281E+07 4.129E+00 1.417E+15 1.430E+00 3.729E-01 3.366E-01 5.837E-03-2.520E-02 1.682E+09 6.754E-01 1.620E+35
   81 4.316E+11 2.248E+07 4.292E+00 1.341E+15 1.430E+00 3.730E-01 3.367E-01 5.954E-03-2.567E-02 1.675E+09 7.034E-01 1.650E+35
   82 4.372E+11 2.215E+07 4.467E+00 1.266E+15 1.430E+00 3.732E-01 3.367E-01 6.076E-03-2.617E-02 1.668E+09 7.298E-01 1.680E+35
   83 4.430E+11 2.181E+07 4.656E+00 1.193E+15 1.431E+00 3.734E-01 3.368E-01 6.204E-03-2.669E-02 1.661E+09 7.549E-01 1.710E+35
   84 4.488E+11 2.146E+07 4.860E+00 1.122E+15 1.431E+00 3.736E-01 3.368E-01 6.340E-03-2.724E-02 1.653E+09 7.785E-01 1.740E+35
