
     FNPOL  3.000 RADIUS=   5.604624E+00
1 polytropic model in hydrostatic balance


 fnpol=  3.00 guess for surface radius= 5.604E+00 alpha= 1.784E-01
   lambda= 1.565E-02 rhobar= 2.387E-01 totmas= 1.000E+00 int. mass= 1.206E+00 diff.=-2.065E-01
  rz0= 1.684E-03 p0= 2.450E-05 rho0= 1.565E-02
 max. g in zone  273 radius = 9.192E-01 mass =  9.516E-01
 Asymptotic frequency for p modes is  0.0000E+00
   Eotvos parameters are   1.000E+00  1.000
   i     xi       theta     dthdr    radius      p        rho        g         rm       dm1       rzone
  133 2.491E+00 1.782E+00 1.286E+01 4.478E-01 2.528E-04 9.012E-02 7.459E-02 2.093E-02 7.704E-04 4.495E-01
  134 2.510E+00 1.792E+00 1.339E+01 4.512E-01 2.585E-04 9.163E-02 7.649E-02 2.167E-02 7.951E-04 4.529E-01
  135 2.529E+00 1.802E+00 1.394E+01 4.545E-01 2.643E-04 9.317E-02 7.842E-02 2.243E-02 8.205E-04 4.562E-01
  136 2.548E+00 1.812E+00 1.450E+01 4.579E-01 2.703E-04 9.473E-02 8.039E-02 2.322E-02 8.467E-04 4.596E-01
  137 2.566E+00 1.822E+00 1.509E+01 4.613E-01 2.764E-04 9.634E-02 8.240E-02 2.403E-02 8.736E-04 4.630E-01
  138 2.585E+00 1.833E+00 1.569E+01 4.646E-01 2.826E-04 9.797E-02 8.445E-02 2.486E-02 9.014E-04 4.663E-01
  139 2.604E+00 1.843E+00 1.632E+01 4.680E-01 2.890E-04 9.963E-02 8.655E-02 2.572E-02 9.300E-04 4.697E-01
  140 2.623E+00 1.853E+00 1.697E+01 4.714E-01 2.956E-04 1.013E-01 8.869E-02 2.661E-02 9.595E-04 4.731E-01
  141 2.642E+00 1.864E+00 1.764E+01 4.747E-01 3.024E-04 1.031E-01 9.087E-02 2.752E-02 9.898E-04 4.764E-01
  142 2.661E+00 1.874E+00 1.833E+01 4.781E-01 3.093E-04 1.048E-01 9.310E-02 2.847E-02 1.021E-03 4.798E-01
  143 2.680E+00 1.885E+00 1.905E+01 4.815E-01 3.164E-04 1.066E-01 9.538E-02 2.944E-02 1.053E-03 4.832E-01
  144 2.699E+00 1.896E+00 1.979E+01 4.848E-01 3.237E-04 1.085E-01 9.770E-02 3.044E-02 1.086E-03 4.865E-01
